Ano,Analfabeto,Fundamental Incompleto,Fundamental Completo,M�dio Incompleto,M�dio Completo,Superior Incompleto,Superior Completo,Total
2007,1090,37977,21439,21246,80113,4634,7868,174367
2008,1067,37360,20313,21548,85435,4889,8213,178825
2009,1129,39877,19541,22980,93111,4978,8599,190215
2010,1156,42337,19794,24896,108827,5259,11260,213529
2011,1052,38923,20285,25733,118197,5184,12202,221576
2012,965,34053,19068,24522,120586,5217,13905,218316
2013,892,30466,17197,23440,126122,5212,14495,217824
2014,896,28588,16197,22288,127441,5273,16123,216806
2015,874,27338,14489,20653,124400,5350,14982,208086
2016,764,24761,13043,19780,122457,5201,16426,202432
2017,718,23960,12390,18823,126111,5225,15206,202433
,,,,,,,,
 ,,,,,,,,
